Compound,Negative,Neutral,Positive,Tweet_Ago,Tweet_DateTime,Tweet_Text,User
0.0,0.0,1.0,0.0,0,Sun Jun 10 00:37:18 +0000 2018,@GStarFreedom @CarlWil42543044 @Karenco30 @loriblue6 @Fenbeagle @SimonGosden @ElContador2000 @528Booth @blenkins1… https://t.co/pNdDgkamMp,@BBC
0.0,0.0,1.0,0.0,1,Sun Jun 10 00:36:46 +0000 2018,RT @KISSfanaticz: @GGJuliePayette @RoyalFamily @liberal_party @JustinTrudeau @gmbutts @telfordk @katepurchase @RalphGoodale @POTUS @g7 @UN…,@BBC
-0.6597,0.316,0.684,0.0,2,Sun Jun 10 00:36:33 +0000 2018,"RT @Trickyjabs: Weird isn't it:

Poll Tax Protests, Student Protests &amp; Anti-Austerity Protests smash windows = Wall to wall @BBCNews covera…",@BBC
0.4939,0.0,0.814,0.186,3,Sun Jun 10 00:36:32 +0000 2018,"RT @Majid_Agha: H A R D  T A L K @BBC with @TheZeinabBadawi: Watch the statesman @BBhuttoZardari, confident and composed, &amp; self-claimed so…",@BBC
-0.3612,0.147,0.791,0.062,4,Sun Jun 10 00:36:27 +0000 2018,"RT @BBC: These turtles have to battle a wall of rubbish to reach the ocean. 💔 #WorldTurtleDay

https://t.co/mbI36NK98e",@BBC
-0.4767,0.238,0.688,0.074,5,Sun Jun 10 00:36:25 +0000 2018,"@mackey69er @St_podge @BBCBreaking @BBCNews @BBC @realDonaldTrump Strange analogy. He admitted  breaking the law, what’s your problem?",@BBC
0.0,0.0,1.0,0.0,6,Sun Jun 10 00:35:03 +0000 2018,RT @Nang07773569: The #GenocideInSouthernCameroons been executed by the #PaulBiya gov't is most under reported bcos most of the villages ar…,@BBC
0.6996,0.0,0.757,0.243,7,Sun Jun 10 00:34:20 +0000 2018,He gets my vote! A @tedcruz / @GOP vote cost me my job. I'm hoping to return the favor. #Texas #vote… https://t.co/ws8L82zEHW,@BBC
0.3527,0.0,0.851,0.149,8,Sun Jun 10 00:34:00 +0000 2018,"RT @carolecadwalla: Oh my god. What next? @AndrewMarr9, @afneil, @bbc &amp; @BBCPanorama follow up? https://t.co/apvar46d5j",@BBC
0.4767,0.0,0.866,0.134,9,Sun Jun 10 00:32:24 +0000 2018,RT @Sumir_1E: Proud to be demoing #Tachyon at @BBC with @JasonKeogh. We have developed a technology that is changing the way organizations…,@BBC
-0.7184,0.368,0.632,0.0,10,Sun Jun 10 00:31:58 +0000 2018,@Kliololo @BBCWorld Because @BBC is a propaganda machine for the insane anti Russian agenda by @10DowningStreet,@BBC
-0.1027,0.11,0.795,0.095,11,Sun Jun 10 00:31:55 +0000 2018,"RT @BBC: What is it like being Germaine Greer? This observational documentary spends time with her and finds out.

Germaine Bloody Greer |…",@BBC
-0.6597,0.316,0.684,0.0,12,Sun Jun 10 00:31:15 +0000 2018,"RT @Trickyjabs: Weird isn't it:

Poll Tax Protests, Student Protests &amp; Anti-Austerity Protests smash windows = Wall to wall @BBCNews covera…",@BBC
-0.6597,0.316,0.684,0.0,13,Sun Jun 10 00:26:44 +0000 2018,"RT @Trickyjabs: Weird isn't it:

Poll Tax Protests, Student Protests &amp; Anti-Austerity Protests smash windows = Wall to wall @BBCNews covera…",@BBC
0.4939,0.0,0.814,0.186,14,Sun Jun 10 00:26:34 +0000 2018,"RT @Majid_Agha: H A R D  T A L K @BBC with @TheZeinabBadawi: Watch the statesman @BBhuttoZardari, confident and composed, &amp; self-claimed so…",@BBC
0.4939,0.0,0.814,0.186,15,Sun Jun 10 00:24:48 +0000 2018,"RT @Majid_Agha: H A R D  T A L K @BBC with @TheZeinabBadawi: Watch the statesman @BBhuttoZardari, confident and composed, &amp; self-claimed so…",@BBC
0.0,0.0,1.0,0.0,16,Sun Jun 10 00:24:46 +0000 2018,@DrBasharAlAssad @acmonks @afneil @BBC You’re both proving my point.,@BBC
0.0,0.0,1.0,0.0,17,Sun Jun 10 00:22:06 +0000 2018,"#कबीरप्रभुकीलीलाएँ 
जानें पूर्ण परमात्मा की अनेक लीलाओं का वर्णन विभिन्न चैनलों पर और जानें रहस्यमयी गुत्थियों को… https://t.co/SjOK5CAj3a",@BBC
0.4939,0.0,0.814,0.186,18,Sun Jun 10 00:20:18 +0000 2018,"RT @Majid_Agha: H A R D  T A L K @BBC with @TheZeinabBadawi: Watch the statesman @BBhuttoZardari, confident and composed, &amp; self-claimed so…",@BBC
0.4939,0.0,0.814,0.186,19,Sun Jun 10 00:20:18 +0000 2018,"RT @Majid_Agha: H A R D  T A L K @BBC with @TheZeinabBadawi: Watch the statesman @BBhuttoZardari, confident and composed, &amp; self-claimed so…",@BBC
0.5719,0.0,0.773,0.227,20,Sun Jun 10 00:18:49 +0000 2018,RT @BazBam: Lord of Adventure: #JamesMcAvoy confirmed to play #LordAsriel in 8-part ⁦@BBC⁩ drama of ⁦@PhilipPullman⁩ #HisDarkMaterial adapt…,@BBC
0.0,0.0,1.0,0.0,21,Sun Jun 10 00:18:04 +0000 2018,@GStarFreedom @mike8881 @Karenco30 @Fenbeagle @SimonGosden @ElContador2000 @528Booth @blenkins1 @am_draper… https://t.co/YNF8lyRhwm,@BBC
-0.3612,0.147,0.791,0.062,22,Sun Jun 10 00:17:06 +0000 2018,"RT @BBC: These turtles have to battle a wall of rubbish to reach the ocean. 💔 #WorldTurtleDay

https://t.co/mbI36NK98e",@BBC
0.0,0.0,1.0,0.0,23,Sun Jun 10 00:16:11 +0000 2018,@GStarFreedom @mike8881 @Karenco30 @Fenbeagle @SimonGosden @ElContador2000 @528Booth @blenkins1 @am_draper… https://t.co/DLb2EYNzjy,@BBC
-0.3612,0.147,0.791,0.062,24,Sun Jun 10 00:15:56 +0000 2018,"RT @BBC: These turtles have to battle a wall of rubbish to reach the ocean. 💔 #WorldTurtleDay

https://t.co/mbI36NK98e",@BBC
0.3527,0.0,0.851,0.149,25,Sun Jun 10 00:14:43 +0000 2018,"RT @carolecadwalla: Oh my god. What next? @AndrewMarr9, @afneil, @bbc &amp; @BBCPanorama follow up? https://t.co/apvar46d5j",@BBC
